Experiment	Sample_name	alias	host	isolation_source	collection_date	life_stage	storage	geographic_location	province	lat_lon	container_description	env_medium	temp	ph	metagenome
SRR9598436	BT5.6S.A.AE.P2	BT5.6S.A.AE.P2	Aedes aegypti	not applicable	2016	Adult	Dry	Panama:Bocas del Toro	Isla Colon	9.34173 N 82.24285 W	Plastic container	plastic	27.13	8.47	Metagenome or environmental
SRR9598311	BT1.24S.L.AE.P4	BT1.24S.L.AE.P4	Aedes aegypti	not applicable	2016	Larvae	Dry	Panama:Bocas del Toro	Chiriqui Grande	9.34636 N 82.25311 W	Freezer	metal	28.33	9.28	Metagenome or environmental
SRR9598312	BT1.24S.L.AE.P3	BT1.24S.L.AE.P3	Aedes aegypti	not applicable	2016	Larvae	Dry	Panama:Bocas del Toro	Chiriqui Grande	9.34636 N 82.25311 W	Freezer	metal	28.33	9.28	Metagenome or environmental
SRR9598313	P.AS6.A.AE.P1	P.AS6.A.AE.P1	Aedes aegypti	not applicable	2016	Adult	Dry	Panama:Panama	Cabra	9.11305 N 79.36444 W	Tyre	rubber	28.3	6.29	Metagenome or environmental
SRR9598319	P.AS12.A.AE9	P.AS12.A.AE9	Aedes aegypti	not applicable	2016	Adult	Dry	Panama:Panama	Panama	9.03994 N 79.46021 W	Wooden door	wood	28.97	9.9	Metagenome or environmental
SRR9598323	BT5.3S.A.AE.P2	BT5.3S.A.AE.P2	Aedes aegypti	not applicable	2016	Adult	Dry	Panama:Bocas del Toro	Isla Colon	9.33949 N 82.24311 W	Small plastic tank	plastic	25.47	8.93	Metagenome or environmental
SRR9598324	BT4.24S.A.AE.P1	BT4.24S.A.AE.P1	Aedes aegypti	not applicable	2016	Adult	Dry	Panama:Bocas del Toro	Changuinola	9.45099 N 82.52432 W	Tyre	rubber	28.87	9.34	Metagenome or environmental
SRR9598325	BT3.24S.L.AE.P3	BT3.24S.L.AE.P3	Aedes aegypti	not applicable	2016	Larvae	Dry	Panama:Bocas del Toro	Changuinola	9.45099 N 82.52432 W	Tyre	rubber	29.6	9.28	Metagenome or environmental
SRR9598326	BT3.24S.L.AE.P2	BT3.24S.L.AE.P2	Aedes aegypti	not applicable	2016	Larvae	Dry	Panama:Bocas del Toro	Changuinola	9.45099 N 82.52432 W	Tyre	rubber	29.6	9.28	Metagenome or environmental
SRR9598329	LS2.22S.A.AE.P4	LS2.22S.A.AE.P4	Aedes aegypti	not applicable	2016	Adult	Dry	Panama:Los Santos	Paritilla	7.62841666 N 80.17741666 W	Tank	rubber	28.42	7.44	Metagenome or environmental
