Experiment	sample_name	isolation_source	collection_date	geographic_location	lat_lon	sample_size	metagenome
SRR11035628	ABY2L	larvae3_Guadeloupe	2017-05-24	Guadeloupe	16.2 N 61.4 W	1 pool of 30 larvae	Metagenome or environmental
SRR11035629	ABY1L	larvae2_Guadeloupe	2017-05-24	Guadeloupe	16.2 N 61.4 W	1 pool of 30 larvae	Metagenome or environmental
SRR11035630	BM6E	water 17_bucket	2017-06-02	Guadeloupe	16.2 N 61.4 W	700 ml	Metagenome or environmental
SRR11035631	ABY10L	larvae1_Guadeloupe	2017-05-24	Guadeloupe	16.2 N 61.4 W	1 pool of 30 larvae	Metagenome or environmental
SRR11035632	E97	water 6_pD	2017-10-05/2017-10-30	French Guiana	3.56 N 53.7 W	700 ml	Metagenome or environmental
SRR11035633	E96	water 97_inf250	2017-10-05/2017-10-30	French Guiana	3.56 N 53.7 W	700 ml	Metagenome or environmental
SRR11035634	E95	water 96_gD	2017-10-05/2017-10-30	French Guiana	3.56 N 53.7 W	700 ml	Metagenome or environmental
SRR11035635	E94	water 95_gD	2017-10-05/2017-10-30	French Guiana	3.56 N 53.7 W	700 ml	Metagenome or environmental
SRR11035636	E91	water 94_P	2017-10-05/2017-10-30	French Guiana	3.56 N 53.7 W	700 ml	Metagenome or environmental
SRR11035637	E90	water 91_gD	2017-10-05/2017-10-30	French Guiana	3.56 N 53.7 W	700 ml	Metagenome or environmental
SRR11035638	E89	water 90_R	2017-10-05/2017-10-30	French Guiana	3.56 N 53.7 W	700 ml	Metagenome or environmental
SRR11035639	E88	water 89_inf250	2017-10-05/2017-10-30	French Guiana	3.56 N 53.7 W	700 ml	Metagenome or environmental
SRR11035640	E86	water 88_inf250	2017-10-05/2017-10-30	French Guiana	3.56 N 53.7 W	700 ml	Metagenome or environmental
SRR11035641	BM5E	water 16_freezer	2017-06-02	Guadeloupe	16.2 N 61.4 W	700 ml	Metagenome or environmental
SRR11035642	E81	water 86_inf250	2017-10-05/2017-10-30	French Guiana	3.56 N 53.7 W	700 ml	Metagenome or environmental
SRR11035643	E77	water 81_inf250	2017-10-05/2017-10-30	French Guiana	3.56 N 53.7 W	700 ml	Metagenome or environmental
SRR11035644	E73	water 77_E	2017-10-05/2017-10-30	French Guiana	3.56 N 53.7 W	700 ml	Metagenome or environmental
SRR11035645	E71	water 73_gD	2017-10-05/2017-10-30	French Guiana	3.56 N 53.7 W	700 ml	Metagenome or environmental
SRR11035646	E6	water 71_R	2017-10-05/2017-10-30	French Guiana	3.56 N 53.7 W	700 ml	Metagenome or environmental
SRR11035647	E68	water 68_inf250	2017-10-05/2017-10-30	French Guiana	3.56 N 53.7 W	700 ml	Metagenome or environmental
SRR11035648	E62	water 62_R	2017-10-05/2017-10-30	French Guiana	3.56 N 53.7 W	700 ml	Metagenome or environmental
SRR11035649	E59	water 59_R	2017-10-05/2017-10-30	French Guiana	3.56 N 53.7 W	700 ml	Metagenome or environmental
SRR11035650	E57	water 57_R	2017-10-05/2017-10-30	French Guiana	3.56 N 53.7 W	700 ml	Metagenome or environmental
SRR11035651	E53	water 53_gD	2017-10-05/2017-10-30	French Guiana	3.56 N 53.7 W	700 ml	Metagenome or environmental
SRR11035652	BM4E	water 15_drum	2017-06-02	Guadeloupe	16.2 N 61.4 W	700 ml	Metagenome or environmental
SRR11035653	E4	water 4_R	2017-10-05/2017-10-30	French Guiana	3.56 N 53.7 W	700 ml	Metagenome or environmental
SRR11035654	E49	water 49_E	2017-10-05/2017-10-30	French Guiana	3.56 N 53.7 W	700 ml	Metagenome or environmental
SRR11035655	E46	water 46_R	2017-10-05/2017-10-30	French Guiana	3.56 N 53.7 W	700 ml	Metagenome or environmental
SRR11035656	E45	water 45_R	2017-10-05/2017-10-30	French Guiana	3.56 N 53.7 W	700 ml	Metagenome or environmental
SRR11035657	E37	water 37_inf250	2017-10-05/2017-10-30	French Guiana	3.56 N 53.7 W	700 ml	Metagenome or environmental
